image_id,x,y,class_id,confidence
S1,1152.00,895.00,0,0.3204
S1,0.00,1846.00,0,0.3203
S1,0.00,1247.00,0,0.3202
S1,0.00,497.00,0,0.3201
S1,0.00,567.00,0,0.3201
S1,1536.00,1279.00,0,0.3200
S1,0.00,1389.00,0,0.3200
S1,0.00,1443.00,0,0.3199
S1,0.00,1878.00,0,0.3198
S1,0.00,1683.00,0,0.3197
S1,0.00,1629.00,0,0.3197
S1,0.00,463.00,0,0.3196
S1,0.00,1926.00,0,0.3196
S1,0.00,1816.00,0,0.3194
S1,1536.00,2047.00,0,0.3194
S1,0.00,1764.00,0,0.3191
S1,1152.00,1279.00,0,0.3191
S1,0.00,491.00,0,0.3191
S1,0.00,1776.00,0,0.3190
S1,1536.00,511.00,0,0.3186
S1,0.00,2013.00,0,0.3186
S1,0.00,647.00,0,0.3185
S1,384.00,2047.00,0,0.3185
S1,0.00,1405.00,0,0.3184
S1,0.00,1377.00,0,0.3183
S1,0.00,353.00,0,0.3182
S1,0.00,2033.00,0,0.3180
S1,0.00,241.00,0,0.3177
S1,1916.00,0.00,0,0.3177
S1,1939.00,0.00,0,0.3177
S1,0.00,679.00,0,0.3175
S1,6.00,2114.00,0,0.3175
S1,0.00,1563.00,0,0.3174
S1,1922.00,0.00,0,0.3174
S1,0.00,85.00,0,0.3173
S1,2041.00,0.00,0,0.3173
S1,0.00,1575.00,0,0.3172
S1,774.00,2114.00,0,0.3167
S1,390.00,2114.00,0,0.3167
S1,1542.00,2114.00,0,0.3167
S1,1158.00,2114.00,0,0.3167
S1,2047.00,316.00,0,0.3164
S1,2040.00,2114.00,0,0.3163
S1,1656.00,2114.00,0,0.3160
S1,888.00,2114.00,0,0.3160
S1,504.00,2114.00,0,0.3160
S1,1272.00,2114.00,0,0.3160
S1,2024.00,0.00,0,0.3159
S1,1138.00,2114.00,0,0.3159
S1,2034.00,2114.00,0,0.3158
S1,498.00,2114.00,0,0.3158
S1,1650.00,2114.00,0,0.3158
S1,882.00,2114.00,0,0.3158
S1,1146.00,2114.00,0,0.3158
S1,14.00,2114.00,0,0.3158
S1,398.00,2114.00,0,0.3158
S1,1550.00,2114.00,0,0.3158
S1,782.00,2114.00,0,0.3158
S1,54.00,2114.00,0,0.3158
S1,1906.00,2114.00,0,0.3158
S1,1450.00,2114.00,0,0.3158
S1,202.00,2114.00,0,0.3158
S1,810.00,2114.00,0,0.3158
S1,194.00,2114.00,0,0.3158
S1,794.00,2114.00,0,0.3158
S1,802.00,2114.00,0,0.3158
S1,1490.00,2114.00,0,0.3158
S1,1678.00,2114.00,0,0.3158
S1,1582.00,2114.00,0,0.3158
S1,826.00,2114.00,0,0.3158
S1,2010.00,2114.00,0,0.3158
S1,818.00,2114.00,0,0.3158
S1,858.00,2114.00,0,0.3158
S1,1922.00,2114.00,0,0.3158
S1,850.00,2114.00,0,0.3158
S1,842.00,2114.00,0,0.3158
S1,834.00,2114.00,0,0.3158
S1,1914.00,2114.00,0,0.3158
S1,62.00,2114.00,0,0.3158
S1,1698.00,2114.00,0,0.3158
S1,1986.00,2114.00,0,0.3158
S1,1530.00,2114.00,0,0.3158
S1,1866.00,2114.00,0,0.3158
S1,1994.00,2114.00,0,0.3158
S1,1442.00,2114.00,0,0.3158
S1,1874.00,2114.00,0,0.3158
S1,2047.00,0.00,1,0.3618
S1,0.00,2114.00,1,0.3467
S1,2047.00,2114.00,1,0.3465
S1,2047.00,384.00,1,0.3159
S1,2047.00,1536.00,1,0.3118
S1,2047.00,1152.00,1,0.3105
S1,2047.00,895.00,1,0.3095
S1,2047.00,511.00,1,0.3089
S1,2047.00,2047.00,1,0.3082
S1,2047.00,1279.00,1,0.3066
S1,2047.00,768.00,1,0.3056
S1,511.00,0.00,1,0.3024
S1,0.00,0.00,1,0.3013
S1,1663.00,0.00,1,0.3006
S1,1279.00,0.00,1,0.2987
S1,895.00,0.00,1,0.2987
S1,768.00,2114.00,1,0.2960
S1,1536.00,2114.00,1,0.2960
S1,384.00,2114.00,1,0.2960
S1,1152.00,2114.00,1,0.2960
S1,2047.00,1603.00,1,0.2959
S1,1663.00,2114.00,1,0.2954
S1,511.00,2114.00,1,0.2954
S1,895.00,2114.00,1,0.2954
S1,1279.00,2114.00,1,0.2954
S1,2047.00,1663.00,1,0.2918
S1,0.00,895.00,1,0.2837
S1,0.00,1279.00,1,0.2831
S1,0.00,2047.00,1,0.2827
S1,2047.00,316.00,1,0.2801
S1,0.00,511.00,1,0.2794
S1,2047.00,332.00,1,0.2793
S1,2047.00,302.00,1,0.2787
S1,2047.00,322.00,1,0.2783
S1,2047.00,1699.00,1,0.2783
S1,2047.00,294.00,1,0.2781
S1,2047.00,1720.00,1,0.2776
S1,2047.00,1928.00,1,0.2775
S1,2047.00,230.00,1,0.2774
S1,2047.00,792.00,1,0.2774
S1,2047.00,310.00,1,0.2774
S1,2047.00,216.00,1,0.2771
S1,2047.00,338.00,1,0.2770
S1,2047.00,1959.00,1,0.2767
S1,2047.00,362.00,1,0.2766
S1,2047.00,24.00,1,0.2765
S1,2047.00,1262.00,1,0.2763
S1,2047.00,222.00,1,0.2762
S1,2047.00,286.00,1,0.2760
S1,2047.00,1942.00,1,0.2760
S1,2047.00,44.00,1,0.2760
S1,2047.00,274.00,1,0.2759
S1,2047.00,210.00,1,0.2759
S1,2047.00,1965.00,1,0.2759
S1,2047.00,6.00,1,0.2758
S1,2047.00,1948.00,1,0.2757
S1,2047.00,1726.00,1,0.2757
S1,2047.00,992.00,1,0.2756
S1,2047.00,1971.00,1,0.2755
S1,2047.00,56.00,1,0.2755
S1,2047.00,70.00,1,0.2753
S1,2047.00,1936.00,1,0.2753
S1,2047.00,244.00,1,0.2750
S1,2047.00,368.00,1,0.2749
S1,2047.00,38.00,1,0.2749
S1,2047.00,258.00,1,0.2748
S1,2047.00,266.00,1,0.2748
S1,2047.00,280.00,1,0.2747
S1,2047.00,112.00,1,0.2747
S1,2047.00,78.00,1,0.2743
S1,2047.00,238.00,1,0.2743
S1,2047.00,12.00,1,0.2742
S1,2047.00,50.00,1,0.2742
S1,2047.00,1977.00,1,0.2742
S1,2047.00,852.00,1,0.2741
S1,2047.00,174.00,1,0.2741
S1,2047.00,778.00,1,0.2740
S1,2047.00,414.00,1,0.2739
S1,2047.00,1140.00,1,0.2738
S1,2047.00,1082.00,1,0.2737
S1,2047.00,1714.00,1,0.2736
S1,2047.00,156.00,1,0.2736
S1,2047.00,1636.00,1,0.2736
S1,2047.00,30.00,1,0.2735
S1,2047.00,102.00,1,0.2735
S1,2047.00,84.00,1,0.2735
S1,2047.00,118.00,1,0.2735
S1,2047.00,866.00,1,0.2735
S1,2047.00,802.00,1,0.2734
S1,2047.00,138.00,1,0.2734
S1,2047.00,90.00,1,0.2733
S1,2047.00,356.00,1,0.2733
S1,2047.00,810.00,1,0.2732
S1,2047.00,830.00,1,0.2732
S1,2047.00,250.00,1,0.2732
S1,2047.00,126.00,1,0.2730
S1,2047.00,168.00,1,0.2730
S1,2047.00,344.00,1,0.2730
S1,2047.00,1134.00,1,0.2730
S1,2047.00,390.00,1,0.2729
S1,2047.00,204.00,1,0.2726
S1,2047.00,132.00,1,0.2726
S1,2047.00,462.00,1,0.2726
S1,2047.00,190.00,1,0.2725
S1,2047.00,426.00,1,0.2725
S1,2047.00,64.00,1,0.2725
S1,2047.00,502.00,1,0.2724
S1,2047.00,476.00,1,0.2724
S1,2047.00,858.00,1,0.2723
S1,2047.00,1869.00,1,0.2721
S1,2047.00,872.00,1,0.2721
S1,2047.00,18.00,1,0.2720
S1,2047.00,404.00,1,0.2719
S1,2047.00,162.00,1,0.2718
S1,2047.00,1312.00,1,0.2717
S1,2047.00,820.00,1,0.2716
S1,2047.00,1206.00,1,0.2716
S1,2047.00,350.00,1,0.2715
S1,2047.00,836.00,1,0.2714
S1,2047.00,842.00,1,0.2714
S1,2047.00,694.00,1,0.2714
S1,2047.00,96.00,1,0.2713
S1,2047.00,434.00,1,0.2713
S1,2047.00,494.00,1,0.2713
S1,2047.00,998.00,1,0.2713
S1,2047.00,1066.00,1,0.2712
S1,2047.00,180.00,1,0.2711
S1,2047.00,398.00,1,0.2711
S1,2047.00,420.00,1,0.2711
S1,2047.00,1272.00,1,0.2710
S1,2047.00,1386.00,1,0.2708
S1,2047.00,1654.00,1,0.2708
S1,2047.00,144.00,1,0.2708
S1,2047.00,1146.00,1,0.2708
S1,2047.00,1922.00,1,0.2708
S1,2047.00,486.00,1,0.2707
S1,2047.00,470.00,1,0.2707
S1,2047.00,374.00,1,0.2706
S1,2047.00,1875.00,1,0.2706
S1,2047.00,700.00,1,0.2706
S1,2047.00,1256.00,1,0.2705
S1,2047.00,1292.00,1,0.2705
S1,2047.00,888.00,1,0.2704
S1,2047.00,1300.00,1,0.2703
S1,2047.00,448.00,1,0.2703
S1,2047.00,1108.00,1,0.2703
S1,2047.00,1286.00,1,0.2702
S1,2047.00,1072.00,1,0.2702
S1,2047.00,920.00,1,0.2701
S1,2047.00,624.00,1,0.2701
S1,2047.00,1400.00,1,0.2701
S1,2047.00,554.00,1,0.2700
S1,2047.00,456.00,1,0.2700
S1,2047.00,1334.00,1,0.2700
S1,2047.00,630.00,1,0.2700
S1,2047.00,902.00,1,0.2700
S1,2047.00,1985.00,1,0.2699
S1,2047.00,1344.00,1,0.2699
S1,2047.00,150.00,1,0.2699
S1,2047.00,1378.00,1,0.2698
S1,2047.00,440.00,1,0.2698
S1,2047.00,196.00,1,0.2698
S1,2047.00,1028.00,1,0.2698
S1,2047.00,1556.00,1,0.2698
S1,2047.00,1474.00,1,0.2697
S1,2047.00,1322.00,1,0.2697
S1,2047.00,1706.00,1,0.2697
S1,2047.00,1761.00,1,0.2696
S1,2047.00,1052.00,1,0.2696
S1,2047.00,958.00,1,0.2696
S1,2047.00,1098.00,1,0.2695
S1,2047.00,986.00,1,0.2695
S1,2047.00,708.00,1,0.2695
S1,2047.00,1850.00,1,0.2695
S1,2047.00,972.00,1,0.2695
S1,2047.00,1122.00,1,0.2695
S1,2047.00,726.00,1,0.2694
S1,2047.00,928.00,1,0.2693
S1,2047.00,878.00,1,0.2693
S1,2047.00,1887.00,1,0.2693
S1,2047.00,1010.00,1,0.2693
S1,2047.00,1250.00,1,0.2693
S1,2047.00,1034.00,1,0.2693
S1,2047.00,1366.00,1,0.2693
S1,2047.00,1128.00,1,0.2693
S1,2047.00,1354.00,1,0.2692
S1,2047.00,676.00,1,0.2692
S1,2047.00,1414.00,1,0.2692
S1,2047.00,1196.00,1,0.2692
S1,2047.00,524.00,1,0.2692
